STATE,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AL,0,382,1439,2013,1158,990,688,764,179,143,753,1791,546,511,699,411,317,1082,714,1213,723,943,541,227,1676,498,1257,820,1097,840,1146,1920,987,556,677,2141,756,1046,325,1122,264,690,1527,616,1106,2167,759,490,1187
AR,382,0,1132,1633,778,1165,890,973,553,456,478,1413,378,484,351,476,304,1257,919,1363,691,706,265,208,1313,773,943,483,1254,1031,773,1539,1135,624,300,1763,925,1229,644,791,325,43,1145,850,1235,1794,596,640,812
AZ,1439,1132,0,634,586,2210,1978,2059,1638,1589,1154,737,1315,1496,990,1553,1240,2295,2007,2366,1619,1284,1165,1279,908,1899,1096,985,2274,2100,382,581,2159,1664,840,985,1988,2276,1777,981,1443,868,505,1958,2228,1097,1393,1729,664
CA,2013,1633,634,0,887,2551,2372,2446,2176,2082,1482,444,1699,1882,1386,1970,1805,2625,2399,2663,1942,1519,1577,1806,732,2345,1190,1322,2590,2470,879,103,2486,2045,1336,446,2358,2614,2257,1161,1902,1465,532,2375,2527,589,1696,2139,900
CO,1158,778,586,887,0,1686,1489,1565,1331,1210,610,637,814,998,499,1083,1008,1765,1517,1820,1079,705,690,972,592,1459,532,442,1736,1594,285,786,1627,1163,504,987,1481,1751,1377,398,1020,771,371,1489,1682,1028,839,1253,97
CT,990,1165,2210,2551,1686,0,303,234,1013,844,1077,2188,896,717,1220,690,1291,93,278,229,610,1045,1049,1162,1957,523,1424,1244,116,151,1829,2448,82,553,1403,2498,242,66,703,1401,848,1601,2019,386,172,2462,855,528,1654
DC,688,890,1978,2372,1489,303,0,83,714,542,892,2041,676,491,1000,426,992,394,30,529,474,923,815,867,1837,232,1314,1049,413,153,1598,2270,311,327,1149,2369,95,359,405,1257,566,1316,1842,96,436,2350,705,251,1472
DE,764,973,2059,2446,1565,234,83,0,732,618,965,2110,754,568,1078,508,1071,322,53,463,532,983,895,947,1900,289,1374,1124,348,84,1678,2343,258,402,1233,2435,105,284,469,1323,649,1398,1915,152,384,2351,769,334,1546
FL,179,553,1638,2176,1331,1013,714,732,0,223,929,1965,712,653,878,537,411,1101,737,1242,850,1111,719,371,1854,492,1433,998,1126,862,1302,2084,1025,662,842,2314,796,1063,311,1301,421,802,1697,628,1149,2343,917,567,1363
GA,143,456,1589,2082,1210,844,542,618,223,0,739,1832,509,427,726,309,458,936,568,1068,621,902,547,350,1695,355,1244,833,952,694,1229,1986,842,436,755,2180,611,900,193,1124,215,818,1580,470,962,2196,698,353,1228
IA,753,478,1154,1482,610,1077,892,965,929,739,0,1154,242,410,207,518,782,1156,918,1215,470,233,222,670,975,900,506,170,1128,988,809,1380,1018,566,473,1490,876,1142,862,391,525,815,951,904,1077,1487,213,672,582
ID,1791,1413,737,444,637,2188,2041,2110,1965,1832,1154,0,1389,1564,1107,1668,1642,2252,2066,2278,1586,1143,1294,1609,289,2050,781,1014,2214,2122,772,357,2118,1717,1140,350,2015,2249,1989,788,1633,1369,296,2058,2145,402,1342,1826,605
IL,546,378,1315,1699,814,896,676,754,712,509,242,1389,0,185,326,279,652,982,703,1063,333,397,160,519,1216,661,739,379,964,788,933,1597,847,352,524,1728,675,962,621,633,296,801,1171,676,927,1727,227,441,802
IN,511,484,1496,1882,998,717,491,568,653,427,410,1564,185,0,510,128,704,806,519,895,221,503,332,563,1379,494,880,560,792,605,1115,1780,674,168,688,1890,492,783,489,793,251,926,1353,495,726,1894,283,262,984
KS,699,351,990,1386,499,1220,1000,1078,878,726,207,1107,326,510,0,586,646,1305,1028,1379,634,429,191,559,976,960,595,133,1284,1114,609,1285,1169,678,267,1455,1001,1286,883,439,526,618,866,993,1241,1472,430,758,504
KY,411,476,1553,1970,1083,690,426,508,537,309,518,1668,279,128,586,0,645,782,456,888,313,630,396,506,1493,382,1002,656,778,560,1174,1869,656,158,723,2007,450,754,361,908,175,915,1446,408,763,2005,411,176,1078
LA,317,304,1240,1805,1008,1291,992,1071,411,458,782,1642,652,704,646,645,0,1384,1020,1508,924,1007,565,141,1576,813,1241,780,1393,1144,926,1719,1279,803,505,1990,1051,1349,642,1084,470,391,1359,926,1392,2036,878,770,1060
MA,1082,1257,2295,2625,1765,93,394,322,1101,936,1156,2252,982,806,1305,782,1384,0,368,149,687,1112,1137,1255,2018,609,1485,1325,63,242,1914,2521,139,642,1493,2560,335,41,791,1472,941,1694,2093,47,152,2519,930,621,1731
MD,714,919,2007,2399,1517,278,30,53,737,568,918,2066,703,519,1028,456,1020,368,0,505,494,945,844,895,1860,250,1336,1077,390,126,1626,2296,291,354,1179,2393,91,332,426,1281,595,1345,1868,112,417,2373,728,281,1499
ME,1213,1363,2366,2663,1820,229,529,463,1242,1068,1215,2278,1063,895,1379,888,1508,149,505,0,747,1143,1221,1377,2030,752,1450,1385,116,380,1986,2559,230,740,1582,2571,458,191,931,1212,544,1804,2134,615,138,2521,981,739,1778
