# United States COVID-19 Cases Deaths and Testing by State
# Source CDC website: https://data.cdc.gov
# Date generated: Wed Jan 26 2022 16:47:33 GMT-0600 (Central Standard Time)
# Subset of data from CDC website.
# Columns: State/Territory, Level of Community Transmission, Total Cases,
#  Confirmed Cases, Probable Cases, Cases in Last 7 Days, 
#  Case Rate per 100000, Total Deaths, Confirmed Deaths
state,level,total_cases,confirmed,probable,cases_last_7_days,case_rate_per_100K,total_deaths,confirmed_deaths
Alabama,high,1172663,851889,320774,80296,23916,16948,13126
Alaska,high,194176,0,0,21847,26543,1039,N/A
Arizona,high,1781274,1588439,192835,135580,24472,25624,22105
Arkansas,high,749824,0,0,61835,24847,9556,N/A
California,high,7929436,7482469,446967,743850,20068,78118,N/A
Colorado,high,1215931,1111809,104122,69191,21114,10933,9650
Connecticut,high,687555,617027,70528,29875,19285,9773,7974
Delaware,high,242324,221181,21143,11448,24885,2489,2281
District of Columbia,high,128739,0,0,3032,18242,1278,N/A
Florida,high,5420755,0,0,224996,25239,64007,N/A
Georgia,high,2288693,1777459,511234,128154,21556,32488,27191
Hawaii,high,202064,0,0,25625,14271,1135,N/A
Idaho,high,364577,286372,78205,20165,20401,4345,3573
Illinois,high,2851567,2851567,0,168584,22503,33942,30276
Indiana,high,1569850,0,0,95561,23318,20928,20167
Iowa,high,699859,0,0,34949,22182,8501,N/A
Kansas,high,695675,526041,169634,74402,23879,7336,N/A
Kentucky,high,1100097,771328,328769,85394,24624,12786,11203
Louisiana,high,1084448,0,0,58700,23328,15476,13388
Maine,high,169997,124857,45140,7056,12647,1716,1571
Maryland,high,940713,0,0,31289,15560,13233,12978
Massachusetts,high,1571650,1449781,121869,84373,22802,21669,21107
Michigan,high,2184376,1918374,266002,120967,21872,31704,29373
Minnesota,high,1264935,0,0,116047,22429,11370,10543
Mississippi,high,699002,399062,299940,41918,23487,10755,7200
Missouri,high,1285040,0,0,79268,20938,17070,N/A
Montana,high,229966,184416,45550,13978,21517,2987,2987
Nebraska,high,428949,307862,121087,26460,22175,3632,3012
Nevada,high,633955,604173,29782,37458,20582,8797,N/A
New Hampshire,high,266000,0,0,15419,19563,2170,N/A
New Jersey,high,2078258,1796200,282058,63556,23398,30950,28043
New Mexico,high,455947,0,0,35755,21745,6317,N/A
New York,high,2507445,0,0,85392,22682,25507,N/A
North Carolina,high,2303196,1945407,357789,155765,21960,20335,17874
North Dakota,high,214459,164861,49598,15246,28142,2078,N/A
Ohio,high,2520112,1964622,555490,101320,21560,32489,32489
Oklahoma,high,931033,690709,240324,78036,23529,12044,9037
Oregon,high,597172,597172,0,55757,14159,5994,5994
Pennsylvania,high,2592691,2147222,445469,104766,20252,39749,N/A
Puerto Rico,high,448538,254785,193753,25317,14044,3754,3132
Rhode Island,high,334581,0,0,17237,31583,3263,N/A
South Carolina,high,1262939,996069,266870,36951,24529,15109,N/A
South Dakota,high,221372,0,0,15970,25023,2609,2231
Tennessee,high,1796908,1384512,412396,121246,26312,22255,16775
Texas,high,6018220,0,0,373823,20755,77058,N/A
Utah,high,854559,854559,0,64343,26655,4073,3911
Vermont,high,92563,0,0,7446,14834,498,N/A
Virginia,high,1503137,1072717,430420,83240,17610,16054,13407
Washington,high,1216544,0,0,110922,15976,10540,N/A
West Virginia,high,425013,336565,88448,32276,23715,5650,N/A
Wisconsin,high,1477323,1298296,179027,76985,25373,12112,10908
Wyoming,high,139461,109726,29735,8908,24097,1625,1625
