Strawberry Cake,Truffle Cake,Chocolate Eclair,Almond Tart,,,,
Lemon Cake,Apple Tart,Lemon Tart,Chocolate Coffee,Vanilla Frappuccino,,,
Blueberry Tart,Apricot Croissant,,,,,,
Cherry Tart,Lemon Cookie,Apricot Danish,,,,,
Apple Tart,Gongolais Cookie,Marzipan Cookie,Almond Croissant,,,,
Cherry Tart,Walnut Cookie,,,,,,
Chocolate Cake,Casino Cake,Vanilla Eclair,,,,,
Berry Tart,Lemon Lemonade,Bottled Water,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Apple Tart,Tuile Cookie,Apple Croissant,Apple Danish,Cherry Soda,,,
Berry Tart,Bottled Water,,,,,,
Chocolate Eclair,Marzipan Cookie,Tuile Cookie,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Strawberry Cake,Blueberry Tart,Apricot Croissant,,,,,
Chocolate Cake,Casino Cake,Strawberry Cake,Coffee Eclair,Apple Pie,Almond Twist,Orange Juice,
Apricot Tart,Lemon Lemonade,,,,,,
Berry Tart,,,,,,,
Apricot Tart,Pecan Tart,Apricot Croissant,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Chocolate Eclair,Orange Juice,,,,,,
Cherry Tart,Pecan Tart,Gongolais Cookie,Lemon Cookie,,,,
Gongolais Cookie,Raspberry Lemonade,Vanilla Frappuccino,,,,,
Lemon Cookie,Tuile Cookie,Apricot Danish,Orange Juice,,,,
Truffle Cake,Lemon Tart,Gongolais Cookie,Chocolate Meringue,,,,
Napoleon Cake,Ganache Cookie,Walnut Cookie,Almond Croissant,Orange Juice,Hot Coffee,,
Cherry Tart,Apricot Danish,,,,,,
Berry Tart,Bottled Water,,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Chocolate Eclair,Berry Tart,Gongolais Cookie,Almond Croissant,Almond Bear Claw,Lemon Lemonade,Chocolate Coffee,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Lemon Cake,Lemon Tart,,,,,,
Truffle Cake,Gongolais Cookie,Almond Twist,,,,,
Chocolate Cake,Casino Cake,Truffle Cake,Chocolate Coffee,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Marzipan Cookie,Tuile Cookie,Cheese Croissant,,,,,
Truffle Cake,Pecan Tart,Gongolais Cookie,Raspberry Lemonade,Bottled Water,,,
Berry Tart,Chocolate Croissant,Blueberry Danish,Bottled Water,,,,
Lemon Cake,Apple Tart,Blueberry Tart,Gongolais Cookie,Blueberry Danish,,,
Casino Cake,Napoleon Cake,Blueberry Tart,Chocolate Tart,Apricot Danish,Hot Coffee,,
Lemon Cookie,Almond Croissant,Cherry Soda,,,,,
Strawberry Cake,Napoleon Cake,Apple Pie,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Marzipan Cookie,Bottled Water,,,,,,
Pecan Tart,Ganache Cookie,Hot Coffee,,,,,
Berry Tart,Lemon Tart,Lemon Cookie,Walnut Cookie,Cheese Croissant,Chocolate Croissant,Apple Danish,Almond Bear Claw
Lemon Cake,Lemon Tart,Apple Danish,Raspberry Lemonade,Orange Juice,,,
Blueberry Tart,Gongolais Cookie,Apricot Danish,,,,,
Chocolate Eclair,Apple Tart,Ganache Cookie,Almond Croissant,Lemon Lemonade,Bottled Water,,
Lemon Cake,Opera Cake,Strawberry Cake,Napoleon Cake,Lemon Cookie,Apple Danish,Green Tea,Bottled Water
Strawberry Cake,Napoleon Cake,Orange Juice,Vanilla Frappuccino,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Coffee Eclair,Almond Tart,Apple Pie,Almond Twist,Hot Coffee,,,
Strawberry Cake,Napoleon Cake,,,,,,
